Body,Head,Head_Coverage,Standard_Confidence,PCA_Confidence,Support,Body Size,Pca Body Size,Functional_variable
?a  comorbidity  Cardiopathy  ?a  drug  Vinorelbine   ,?a  ageCategory  young,0.086,0.573333,0.573333,86,150,150,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.043,0.573333,0.573333,43,75,75,?a
?a  comorbidity  Cardiopathy  ?a  drug  Vinorelbine   ,?a  sex  female,0.086,0.573333,0.573333,86,150,150,?a
?a  drug  Cisplatin  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  No,0.051,0.573034,0.573034,51,89,89,?a
?a  ageCategory  old  ?a  smokingHabit  PreviousSmoker   ,?a  sex  female,0.075,0.572519,0.572519,75,131,131,?a
?a  biomarker  ROS1_Positive  ?a  hasRelapse  Yes   ,?a  sex  female,0.087,0.572368,0.572368,87,152,152,?a
?a  ageCategory  old  ?a  hasRelapse  Yes   ,?a  sex  female,0.139,0.572016,0.572016,139,243,243,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.056,0.571429,0.571429,56,98,98,?a
?a  drug  Nivolumab  ?a  drug  Vinorelbine   ,?a  biomarker  ROS1_Positive,0.035516,0.372093,0.571429,32,86,56,?a
?a  sex  female  ?a  smokingHabit  CurrentSmoker   ,?a  biomarker  ROS1_Positive,0.062153,0.405797,0.571429,56,138,98,?a
?a  comorbidity  Others  ?a  hasRelapse  Yes   ,?a  sex  female,0.129,0.570796,0.570796,129,226,226,?a
?a  comorbidity  Depression  ?a  drug  Cisplatin   ,?a  sex  male,0.089,0.570513,0.570513,89,156,156,?a
?a  ageCategory  old  ?a  biomarker  ALK_Positive   ,?a  sex  female,0.073,0.570313,0.570313,73,128,128,?a
?a  drug  Afatinib  ?a  drug  Nivolumab   ,?a  comorbidity  Depression,0.030814,0.569892,0.569892,53,93,93,?a
?a  biomarker  ROS1_Positive  ?a  drug  Carboplatin   ,?a  hasRelapse  No,0.066,0.568966,0.568966,66,116,116,?a
?a  comorbidity  Cardiopathy  ?a  drug  Nivolumab   ,?a  hasRelapse  No,0.079,0.568345,0.568345,79,139,139,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Depression   ,?a  ageCategory  young,0.088,0.567742,0.567742,88,155,155,?a
?a  biomarker  ROS1_Positive  ?a  drug  Nivolumab   ,?a  hasRelapse  No,0.063,0.567568,0.567568,63,111,111,?a
?a  biomarker  EGFR_Positive  ?a  comorbidity  Diabetes_Mellitus   ,?a  sex  female,0.063,0.567568,0.567568,63,111,111,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  No,0.038,0.567164,0.567164,38,67,67,?a
?a  ageCategory  young  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.072,0.566929,0.566929,72,127,127,?a
?a  drug  Nivolumab  ?a  sex  male   ,?a  hasRelapse  No,0.089,0.566879,0.566879,89,157,157,?a
?a  drug  Carboplatin  ?a  sex  male   ,?a  hasRelapse  No,0.098,0.566474,0.566474,98,173,173,?a
?a  comorbidity  Cardiopathy  ?a  sex  female   ,?a  hasRelapse  No,0.124,0.56621,0.56621,124,219,219,?a
?a  biomarker  EGFR_Positive  ?a  hasRelapse  Yes   ,?a  sex  female,0.09,0.566038,0.566038,90,159,159,?a
?a  ageCategory  young  ?a  drug  Vinorelbine   ,?a  sex  female,0.103,0.565934,0.565934,103,182,182,?a
?a  ageCategory  old  ?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.074,0.564885,0.564885,74,131,131,?a
?a  comorbidity  Cardiopathy  ?a  sex  male   ,?a  ageCategory  young,0.11,0.564103,0.564103,110,195,195,?a
?a  sex  female  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.075,0.56391,0.56391,75,133,133,?a
?a  biomarker  ROS1_Positive   ,?a  sex  female,0.177,0.563694,0.563694,177,314,314,?a
?a  hasRelapse  Yes  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.067,0.563025,0.563025,67,119,119,?a
?a  comorbidity  Depression  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.067,0.563025,0.563025,67,119,119,?a
?a  drug  Nivolumab  ?a  smokingHabit  CurrentSmoker   ,?a  biomarker  EGFR_Positive,0.039956,0.4,0.5625,36,90,64,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Carboplatin   ,?a  ageCategory  old,0.081,0.5625,0.5625,81,144,144,?a
?a  drug  Nivolumab  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  No,0.05,0.561798,0.561798,50,89,89,?a
?a  drug  Vinorelbine  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  No,0.05,0.561798,0.561798,50,89,89,?a
?a  biomarker  EGFR_Positive  ?a  biomarker  ROS1_Positive   ,?a  ageCategory  old,0.05,0.561798,0.561798,50,89,89,?a
?a  biomarker  ALK_Positive  ?a  hasRelapse  No   ,?a  ageCategory  young,0.082,0.561644,0.561644,82,146,146,?a
?a  biomarker  ALK_Positive  ?a  hasRelapse  No   ,?a  sex  female,0.082,0.561644,0.561644,82,146,146,?a
?a  comorbidity  Others  ?a  drug  Afatinib   ,?a  ageCategory  old,0.083,0.560811,0.560811,83,148,148,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  young,0.06,0.560748,0.560748,60,107,107,?a
?a  hasRelapse  No  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.074,0.560606,0.560606,74,132,132,?a
?a  comorbidity  Others  ?a  drug  Cisplatin   ,?a  ageCategory  young,0.088,0.56051,0.56051,88,157,157,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Others   ,?a  biomarker  EGFR_Positive,0.056604,0.389313,0.56044,51,131,91,?a
?a  biomarker  ALK_Positive  ?a  drug  Afatinib   ,?a  comorbidity  Depression,0.032558,0.56,0.56,56,100,100,?a
?a  biomarker  ALK_Positive  ?a  drug  Afatinib   ,?a  sex  female,0.056,0.56,0.56,56,100,100,?a
?a  drug  Vinorelbine  ?a  smokingHabit  NonSmoker   ,?a  sex  female,0.056,0.56,0.56,56,100,100,?a
?a  ageCategory  young  ?a  biomarker  EGFR_Positive   ,?a  sex  female,0.084,0.56,0.56,84,150,150,?a
?a  drug  Vinorelbine  ?a  sex  male   ,?a  hasRelapse  No,0.089,0.559748,0.559748,89,159,159,?a
?a  comorbidity  Cardiopathy  ?a  hasRelapse  Yes   ,?a  ageCategory  young,0.104,0.55914,0.55914,104,186,186,?a
?a  drug  Afatinib  ?a  smokingHabit  PreviousSmoker   ,?a  sex  female,0.052,0.55914,0.55914,52,93,93,?a
?a  comorbidity  Cardiopathy  ?a  drug  Carboplatin   ,?a  hasRelapse  No,0.086,0.558442,0.558442,86,154,154,?a
?a  comorbidity  Cardiopathy   ,?a  ageCategory  young,0.231,0.557971,0.557971,231,414,414,?a
?a  drug  Carboplatin  ?a  drug  Cisplatin   ,?a  hasRelapse  No,0.053,0.557895,0.557895,53,95,95,?a
?a  drug  Carboplatin  ?a  hasRelapse  Yes   ,?a  biomarker  EGFR_Positive,0.069922,0.377246,0.557522,63,167,113,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.063,0.557522,0.557522,63,113,113,?a
?a  drug  Carboplatin  ?a  drug  Nivolumab   ,?a  biomarker  ROS1_Positive,0.037736,0.346939,0.557377,34,98,61,?a
?a  drug  Afatinib  ?a  drug  Cisplatin   ,?a  hasRelapse  Yes,0.044,0.556962,0.556962,44,79,79,?a
?a  biomarker  ALK_Positive  ?a  drug  Carboplatin   ,?a  hasRelapse  No,0.049,0.556818,0.556818,49,88,88,?a
?a  drug  Afatinib  ?a  drug  Carboplatin   ,?a  ageCategory  old,0.049,0.556818,0.556818,49,88,88,?a
?a  comorbidity  Depression  ?a  drug  Carboplatin   ,?a  ageCategory  old,0.084,0.556291,0.556291,84,151,151,?a
?a  drug  Afatinib  ?a  drug  Carboplatin   ,?a  biomarker  EGFR_Positive,0.038846,0.397727,0.555556,35,88,63,?a
?a  drug  Cisplatin  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.055,0.555556,0.555556,55,99,99,?a
?a  biomarker  ALK_Positive  ?a  drug  Nivolumab   ,?a  ageCategory  young,0.055,0.555556,0.555556,55,99,99,?a
?a  drug  Nivolumab  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.05,0.555556,0.555556,50,90,90,?a
?a  biomarker  ALK_Positive  ?a  drug  Nivolumab   ,?a  sex  female,0.055,0.555556,0.555556,55,99,99,?a
?a  sex  male  ?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.066,0.554622,0.554622,66,119,119,?a
?a  drug  Vinorelbine  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.046,0.554217,0.554217,46,83,83,?a
?a  drug  Afatinib  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  No,0.041,0.554054,0.554054,41,74,74,?a
?a  comorbidity  Cardiopathy  ?a  drug  Nivolumab   ,?a  sex  female,0.077,0.553957,0.553957,77,139,139,?a
?a  comorbidity  Others  ?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.062,0.553571,0.553571,62,112,112,?a
?a  biomarker  EGFR_Positive  ?a  drug  Carboplatin   ,?a  hasRelapse  Yes,0.063,0.552632,0.552632,63,114,114,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.042,0.552632,0.552632,42,76,76,?a
?a  biomarker  ALK_Positive  ?a  drug  Vinorelbine   ,?a  ageCategory  young,0.053,0.552083,0.552083,53,96,96,?a
?a  ageCategory  old  ?a  comorbidity  Cardiopathy   ,?a  hasRelapse  No,0.101,0.551913,0.551913,101,183,183,?a
?a  drug  Cisplatin  ?a  sex  female   ,?a  ageCategory  young,0.096,0.551724,0.551724,96,174,174,?a
?a  comorbidity  Depression  ?a  drug  Afatinib   ,?a  sex  male,0.091,0.551515,0.551515,91,165,165,?a
?a  biomarker  EGFR_Positive   ,?a  sex  female,0.167,0.551155,0.551155,167,303,303,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.054,0.55102,0.55102,54,98,98,?a
?a  drug  Carboplatin  ?a  hasRelapse  Yes   ,?a  sex  female,0.092,0.550898,0.550898,92,167,167,?a
?a  drug  Vinorelbine   ,?a  sex  female,0.195,0.550847,0.550847,195,354,354,?a
?a  comorbidity  Cardiopathy   ,?a  hasRelapse  No,0.228,0.550725,0.550725,228,414,414,?a
?a  drug  Cisplatin  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  young,0.049,0.550562,0.550562,49,89,89,?a
?a  drug  Nivolumab  ?a  smokingHabit  NonSmoker   ,?a  sex  female,0.049,0.550562,0.550562,49,89,89,?a
?a  biomarker  EGFR_Positive  ?a  comorbidity  Others   ,?a  hasRelapse  Yes,0.082,0.550336,0.550336,82,149,149,?a
?a  smokingHabit  CurrentSmoker   ,?a  sex  female,0.138,0.549801,0.549801,138,251,251,?a
?a  ageCategory  young  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  No,0.072,0.549618,0.549618,72,131,131,?a
?a  biomarker  ALK_Positive   ,?a  ageCategory  young,0.156,0.549296,0.549296,156,284,284,?a
?a  drug  Cisplatin   ,?a  ageCategory  young,0.19,0.549133,0.549133,190,346,346,?a
?a  drug  Carboplatin  ?a  sex  male   ,?a  ageCategory  old,0.095,0.549133,0.549133,95,173,173,?a
?a  comorbidity  Others  ?a  sex  female   ,?a  hasRelapse  Yes,0.129,0.548936,0.548936,129,235,235,?a
?a  drug  Carboplatin  ?a  drug  Vinorelbine   ,?a  biomarker  ROS1_Positive,0.037736,0.357895,0.548387,34,95,62,?a
?a  sex  male  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  No,0.074,0.548148,0.548148,74,135,135,?a
?a  drug  Cisplatin  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ALK_Positive,0.032186,0.376623,0.54717,29,77,53,?a
?a  biomarker  ALK_Positive  ?a  sex  female   ,?a  hasRelapse  No,0.082,0.546667,0.546667,82,150,150,?a
?a  comorbidity  Others  ?a  drug  Vinorelbine   ,?a  ageCategory  young,0.088,0.546584,0.546584,88,161,161,?a
?a  ageCategory  young  ?a  comorbidity  Depression   ,?a  sex  male,0.124,0.546256,0.546256,124,227,227,?a
?a  drug  Nivolumab  ?a  sex  female   ,?a  biomarker  ROS1_Positive,0.078801,0.37766,0.546154,71,188,130,?a
?a  drug  Vinorelbine  ?a  sex  female   ,?a  biomarker  ROS1_Positive,0.078801,0.364103,0.546154,71,195,130,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Diabetes_Mellitus   ,?a  sex  female,0.077,0.546099,0.546099,77,141,141,?a
?a  biomarker  ALK_Positive  ?a  drug  Cisplatin   ,?a  hasRelapse  No,0.054,0.545455,0.545455,54,99,99,?a
?a  biomarker  ALK_Positive  ?a  comorbidity  Others   ,?a  hasRelapse  Yes,0.066,0.545455,0.545455,66,121,121,?a
?a  hasRelapse  No  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.072,0.545455,0.545455,72,132,132,?a
?a  comorbidity  Cardiopathy  ?a  drug  Carboplatin   ,?a  sex  female,0.084,0.545455,0.545455,84,154,154,?a
?a  drug  Cisplatin  ?a  smokingHabit  PreviousSmoker   ,?a  sex  female,0.042,0.545455,0.545455,42,77,77,?a
?a  ageCategory  young  ?a  drug  Nivolumab   ,?a  sex  female,0.096,0.545455,0.545455,96,176,176,?a
?a  drug  Nivolumab   ,?a  sex  female,0.188,0.544928,0.544928,188,345,345,?a
?a  ageCategory  old  ?a  drug  Cisplatin   ,?a  hasRelapse  Yes,0.085,0.544872,0.544872,85,156,156,?a
?a  biomarker  ROS1_Positive  ?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.061,0.544643,0.544643,61,112,112,?a
?a  biomarker  ROS1_Positive  ?a  drug  Vinorelbine   ,?a  ageCategory  old,0.061,0.544643,0.544643,61,112,112,?a
?a  hasRelapse  No  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.074,0.544118,0.544118,74,136,136,?a
?a  ageCategory  old  ?a  sex  male   ,?a  hasRelapse  No,0.124,0.54386,0.54386,124,228,228,?a
?a  biomarker  EGFR_Positive  ?a  drug  Carboplatin   ,?a  ageCategory  old,0.062,0.54386,0.54386,62,114,114,?a
?a  comorbidity  Cardiopathy  ?a  hasRelapse  No   ,?a  sex  female,0.124,0.54386,0.54386,124,228,228,?a
?a  hasRelapse  Yes  ?a  smokingHabit  CurrentSmoker   ,?a  biomarker  ROS1_Positive,0.048835,0.369748,0.54321,44,119,81,?a
?a  biomarker  ROS1_Positive  ?a  drug  Carboplatin   ,?a  ageCategory  old,0.063,0.543103,0.543103,63,116,116,?a
?a  hasRelapse  Yes  ?a  smokingHabit  PreviousSmoker   ,?a  sex  female,0.063,0.543103,0.543103,63,116,116,?a
?a  comorbidity  Others  ?a  hasRelapse  Yes   ,?a  biomarker  EGFR_Positive,0.09101,0.362832,0.543046,82,226,151,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  Yes,0.057,0.542857,0.542857,57,105,105,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  NonSmoker   ,?a  biomarker  EGFR_Positive,0.042175,0.38,0.542857,38,100,70,?a
?a  hasRelapse  Yes   ,?a  sex  female,0.269,0.542339,0.542339,269,496,496,?a
?a  comorbidity  Depression  ?a  sex  female   ,?a  ageCategory  old,0.122,0.542222,0.542222,122,225,225,?a
?a  drug  Afatinib  ?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.045,0.542169,0.542169,45,83,83,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Nivolumab   ,?a  hasRelapse  No,0.071,0.541985,0.541985,71,131,131,?a
?a  hasRelapse  Yes  ?a  sex  male   ,?a  ageCategory  young,0.123,0.54185,0.54185,123,227,227,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Carboplatin   ,?a  sex  female,0.078,0.541667,0.541667,78,144,144,?a
?a  comorbidity  Diabetes_Mellitus  ?a  smokingHabit  PreviousSmoker   ,?a  sex  male,0.053,0.540816,0.540816,53,98,98,?a
?a  biomarker  EGFR_Positive  ?a  comorbidity  Diabetes_Mellitus   ,?a  hasRelapse  Yes,0.06,0.540541,0.540541,60,111,111,?a
?a  biomarker  ALK_Positive  ?a  biomarker  EGFR_Positive   ,?a  comorbidity  Cardiopathy,0.023256,0.540541,0.540541,40,74,74,?a
?a  comorbidity  Others  ?a  drug  Carboplatin   ,?a  biomarker  EGFR_Positive,0.066593,0.361446,0.540541,60,166,111,?a
?a  comorbidity  Others  ?a  drug  Afatinib   ,?a  sex  female,0.08,0.540541,0.540541,80,148,148,?a
?a  comorbidity  Others  ?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.087,0.540373,0.540373,87,161,161,?a
?a  ageCategory  old  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Depression,0.038953,0.540323,0.540323,67,124,124,?a
?a  drug  Carboplatin  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.047,0.54023,0.54023,47,87,87,?a
?a  sex  male  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  No,0.061,0.539823,0.539823,61,113,113,?a
?a  smokingHabit  PreviousSmoker   ,?a  hasRelapse  No,0.136,0.539683,0.539683,136,252,252,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Afatinib   ,?a  ageCategory  old,0.068,0.539683,0.539683,68,126,126,?a
?a  ageCategory  old  ?a  comorbidity  Others   ,?a  sex  female,0.116,0.539535,0.539535,116,215,215,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  old,0.041,0.539474,0.539474,41,76,76,?a
?a  biomarker  EGFR_Positive  ?a  sex  female   ,?a  hasRelapse  Yes,0.09,0.538922,0.538922,90,167,167,?a
?a  drug  Carboplatin  ?a  hasRelapse  Yes   ,?a  ageCategory  old,0.09,0.538922,0.538922,90,167,167,?a
?a  ageCategory  old  ?a  sex  female   ,?a  hasRelapse  Yes,0.139,0.53876,0.53876,139,258,258,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Others   ,?a  ageCategory  old,0.077,0.538462,0.538462,77,143,143,?a
?a  biomarker  EGFR_Positive  ?a  drug  Vinorelbine   ,?a  ageCategory  old,0.056,0.538462,0.538462,56,104,104,?a
?a  drug  Carboplatin   ,?a  ageCategory  old,0.191,0.538028,0.538028,191,355,355,?a
?a  drug  Afatinib  ?a  drug  Nivolumab   ,?a  ageCategory  old,0.05,0.537634,0.537634,50,93,93,?a
?a  hasRelapse  Yes  ?a  sex  male   ,?a  comorbidity  Depression,0.07093,0.537445,0.537445,122,227,227,?a
?a  biomarker  ALK_Positive  ?a  comorbidity  Cardiopathy   ,?a  sex  female,0.065,0.53719,0.53719,65,121,121,?a
?a  biomarker  ALK_Positive  ?a  comorbidity  Others   ,?a  sex  female,0.065,0.53719,0.53719,65,121,121,?a
?a  hasRelapse  No  ?a  sex  female   ,?a  ageCategory  young,0.138,0.536965,0.536965,138,257,257,?a
